date,net
20241001,-3510986
20241004,-6355618
20241007,-1036192
20241008,-3072031
20241009,25643179
20241011,-11360028
20241014,4907382
20241015,-115421
20241016,16129755
20241017,-149437
20241018,-2439076
20241021,11912012
20241022,7253205
20241023,904766
20241024,-1368505
20241025,880295
20241028,-102960
20241029,2015493
20241030,2019962
20241101,1043645
20241104,632146
20241105,196950
20241106,12117212
20241107,-6655979
20241108,433472
20241111,-3633841
20241112,33511
20241113,-7508361
20241114,-583903
20241115,-1561621
20241118,-2618534
20241119,1975775
20241120,-5463352
20241121,-2362589
20241122,170890
20241125,-8042072
20241126,-1344407
20241127,-1361097
20241128,446666
20241129,-578682
20241202,-1020190
20241203,-28913
20241204,-5956642
20241205,-271399
20241206,-3597806
20241209,-8756950
20241210,-1829059
20241211,-4185524
20241212,-5855430
20241213,-83882
20241216,-3560610
20241217,-10548345
20241218,-2503353
20241219,-2888847
20241220,-1074039
20241223,-6716358
20241224,-1264876
20241225,3037008
20241226,-2485000
20241227,256226
20241230,-8940674
20241231,-2313089
20250102,336126
20250103,-471558
20250106,205443
20250107,1115248
20250108,-2080764
20250109,-96034
20250110,499638
20250113,-280879
20250114,-1184716
20250115,-4370419
20250116,-1009539
20250117,717088
20250120,1689797
20250121,-1207284
20250122,-2065976
20250203,-18191133
20250204,-10022475
20250205,3237063
20250206,4098944
20250207,1377505
20250210,185208
20250211,-999698
20250212,458869
20250213,1104748
20250214,2933431
20250217,2354518
20250218,1690732
20250219,590820
20250220,-4200571
20250221,2790851
20250224,-3265878
20250225,-5998845
20250226,-4266634
20250227,-4361932
20250303,-9266885
20250304,-3212632
20250305,-3491300
20250306,-5820160
20250307,-2729869
20250310,1819400
20250311,-2206865
20250312,-448892
20250313,-1632359
20250314,-3899041
20250317,-1795334
20250318,-3057606
20250319,-3618979
20250320,4460571
20250321,-1093326
20250324,-1121900
20250325,-1439863
20250326,-332949
20250327,-1597990
20250328,1900797
20250331,-1739715
20250401,-1937192
20250402,98726
20250407,395259
20250408,-1748342
20250409,5522354
20250410,823000
20250411,-266928
20250414,-1541831
20250415,-932867
20250416,-1283420
20250417,-1288611
20250418,-733976
20250421,-786042
20250422,-657702
20250423,-937511
20250424,-2727393
20250425,-907861
20250428,-2552377
20250429,-2852532
20250430,-604482
20250502,-1821410
20250505,1681372
20250506,1250701
20250507,367820
20250508,110608
20250509,609828
20250512,-823754
20250513,-5770552
20250514,7865576
20250515,-4549188
20250516,-2031843
20250519,-2358365
20250520,-2076809
20250521,1750823
20250522,-138822
20250523,-1206908
20250526,388826
20250527,-654067
20250528,-22282
20250529,89483
20250602,-4635104
20250603,4459899
20250604,1323622
20250605,2374142
20250606,-3096245
20250609,2414559
20250610,-208154
20250611,-4033939
20250612,-262038
20250613,3957826
20250616,-58634
20250617,2020514
20250618,-68802
20250619,113601
20250620,492693
20250623,-110143
20250624,4785659
20250625,-1302158
20250626,-1599402
20250627,3839258
20250630,-4417170
20250701,279673
20250702,-1662630
20250703,6445098
20250704,-533030
20250707,2503356
20250708,-6281800
20250709,-1482340
20250710,-3408044
20250711,1171601
20250714,-4696965
20250715,8678983
20250716,12245782
20250717,-4108346
20250718,-23221
20250721,5332495
20250722,-1641842
20250723,1159150
20250724,2554193
20250725,-2688756
20250728,5972539
20250729,-2891028
20250730,2936348
20250731,4838270
20250801,130183
20250804,-2405813
20250805,1490435
20250806,-390517
20250807,8022453
20250808,10903094
20250811,4221691
20250812,6624389
20250813,6570777
20250814,-1321760
20250815,3233400
20250818,4411417
20250819,-1535271
20250820,8379445
20250821,1669219
20250822,4929052
20250825,5429302
20250826,-2621302
20250827,2766997
20250828,6596840
20250829,2296575
20250901,7036802
20250902,6754034
20250903,4376599
20250904,-572475
20250905,6628806
20250908,-1264134
20250909,9858489
20250910,6897909
20250911,4229562
20250912,2005136
20250915,5195998
20250916,-2038141
20250917,1119988
20250918,4319184
20250919,1988404
20250922,-4309262
20250923,1745118
20250924,1391205
20250925,-1535913
20250926,4642046
20250930,-409885
20251001,-1092556
20251002,-45070
20251003,1344439
20251007,4362933
20251008,2292844
20251009,3574722
20251013,-447749
20251014,-458302
20251015,-1389482
20251016,8040551
20251017,-5280993
20251020,660457
20251021,2094418
20251022,-6010664
20251023,2676124
20251027,7486645
20251028,4487740
