date,open,high,low,close,volume
20241001,269.0,269.0,260.0,264.0,2092434
20241004,266.0,267.5,258.0,258.5,1239118
20241007,262.0,266.5,262.0,265.5,815108
20241008,268.0,269.5,263.0,266.0,1466116
20241009,269.5,270.5,261.5,261.5,1109556
20241011,264.5,266.0,261.5,261.5,670772
20241014,263.0,282.5,263.0,278.5,4479504
20241015,279.0,287.5,275.0,287.0,3580893
20241016,283.0,298.0,281.5,289.5,4238456
20241017,296.0,298.0,284.5,294.5,3724033
20241018,298.0,302.0,288.0,291.5,3087282
20241021,295.5,297.0,289.5,290.5,1408559
20241022,293.0,297.0,288.0,292.5,2007826
20241023,292.0,302.0,292.0,301.0,4120138
20241024,303.0,306.0,295.0,295.0,2660739
20241025,296.0,297.5,292.5,292.5,799654
20241028,294.5,295.0,286.0,287.0,857829
20241029,286.0,286.0,278.0,281.5,1204253
20241030,282.0,286.0,279.0,284.0,627793
20241101,278.0,288.0,277.0,287.0,938989
20241104,289.0,289.0,282.0,283.0,543289
20241105,280.5,286.0,278.0,279.0,936254
20241106,281.5,287.0,281.5,283.0,603899
20241107,283.0,297.0,282.5,295.0,1576472
20241108,291.0,292.5,286.5,290.0,2152615
20241111,296.5,319.0,293.5,316.5,8468216
20241112,312.0,321.0,306.0,307.5,5053551
20241113,310.0,316.0,308.0,312.5,3904566
20241114,312.0,315.5,306.0,306.5,2033789
20241115,309.5,309.5,295.5,297.0,1763890
20241118,297.0,298.0,291.0,291.0,1007746
20241119,289.0,293.5,286.5,288.0,1530887
20241120,291.5,296.0,287.5,293.0,1324707
20241121,293.0,296.0,291.0,291.0,821570
20241122,295.5,302.0,295.0,298.0,1186607
20241125,299.5,307.0,298.5,303.5,1230369
20241126,304.0,306.0,295.5,296.5,1218173
20241127,298.0,302.0,286.5,287.0,1579583
20241128,287.5,290.0,280.5,285.0,1085795
20241129,283.5,291.0,282.0,289.0,923909
20241202,292.0,296.0,287.5,291.5,1264990
20241203,295.5,297.0,290.5,295.0,1159585
20241204,295.0,298.5,294.5,298.0,833710
20241205,298.5,311.0,298.5,304.0,2247793
20241206,304.5,313.0,304.0,311.5,2362551
20241209,304.5,304.5,285.0,287.5,4442556
20241210,288.0,291.0,286.5,288.0,1133149
20241211,286.0,290.0,284.0,286.0,942143
20241212,288.0,290.0,285.0,285.5,761092
20241213,285.5,287.0,281.0,282.5,768980
20241216,285.0,285.5,274.5,276.0,874141
20241217,278.0,279.0,272.5,274.0,903300
20241218,274.0,275.0,271.0,274.0,604481
20241219,273.0,273.0,266.0,272.0,1363179
20241220,272.0,276.0,267.0,270.0,1427831
20241223,273.0,277.5,272.5,275.5,574642
20241224,278.5,278.5,271.5,271.5,526112
20241225,272.5,274.5,270.0,270.5,591044
20241226,272.5,273.5,271.0,272.0,321090
20241227,274.5,274.5,269.0,269.0,519642
20241230,269.5,271.5,267.0,267.0,410749
20241231,267.5,268.5,263.5,266.5,693835
20250102,266.5,269.5,262.0,262.5,677280
20250103,266.0,271.0,265.5,267.0,891569
20250106,271.0,274.0,269.0,271.0,538874
20250107,273.5,274.0,268.5,268.5,1488650
20250108,270.0,276.0,270.0,274.0,1011748
20250109,275.0,276.0,265.5,265.5,1148892
20250110,266.0,269.5,262.0,263.0,659081
20250113,260.5,260.5,237.0,240.0,3238845
20250114,243.5,243.5,237.0,239.5,1434040
20250115,239.0,245.0,237.0,237.0,1047908
20250116,241.5,247.5,241.5,243.0,870309
20250117,243.0,246.5,239.5,246.0,755950
20250120,251.5,260.5,250.0,260.5,1084742
20250121,260.5,263.5,253.5,259.0,1135947
20250122,263.5,265.0,259.0,265.0,942419
20250203,242.5,250.0,238.5,239.0,2217832
20250204,243.0,244.5,238.0,243.0,1142184
20250205,247.5,248.0,244.0,245.5,770872
20250206,251.0,254.5,244.0,247.5,1264979
20250207,255.5,269.5,250.0,263.5,3494486
20250210,265.0,265.0,258.0,259.5,905371
20250211,259.0,267.5,259.0,266.0,990101
20250212,267.0,280.0,267.0,274.0,2634141
20250213,288.0,295.0,285.0,288.0,7067191
20250214,290.5,293.0,277.0,280.5,5937384
20250217,284.0,296.0,283.0,291.5,4428050
20250218,291.5,298.0,290.0,292.5,3626877
20250219,294.0,297.5,291.0,292.5,1483707
20250220,294.5,301.5,292.0,297.0,2752797
20250221,298.0,310.0,296.5,301.5,4544466
20250224,295.0,302.0,289.0,301.0,1868888
20250225,294.0,300.5,293.0,295.0,1039055
20250226,295.5,298.0,293.0,296.0,853385
20250227,296.0,301.0,291.5,293.5,1391225
20250303,291.0,291.5,286.0,287.5,796547
20250304,278.5,295.5,278.0,293.0,1071759
20250305,294.0,296.5,290.0,290.5,1030996
20250306,293.5,296.5,290.5,293.5,939047
20250307,291.5,297.0,287.0,287.0,809230
20250310,292.5,295.0,288.0,290.5,800888
20250311,285.0,293.0,276.5,292.5,1180222
20250312,292.5,294.5,284.5,284.5,1153190
20250313,289.0,297.5,289.0,292.5,1873920
20250314,293.0,297.5,287.0,288.5,1417323
20250317,294.0,294.5,288.0,289.5,635555
20250318,291.0,292.5,289.0,292.0,588198
20250319,290.5,291.0,283.0,283.0,829219
20250320,288.0,296.0,288.0,289.0,1154402
20250321,290.0,293.0,288.0,291.5,630870
20250324,295.0,295.0,284.0,284.0,555017
20250325,289.0,290.0,284.0,287.0,389139
20250326,288.5,293.5,285.5,291.5,419596
20250327,288.5,288.5,281.0,282.5,855947
20250328,281.5,282.5,275.0,278.0,688855
20250331,269.0,271.0,250.5,250.5,1872355
20250401,253.0,258.5,248.5,256.0,785803
20250402,256.0,260.0,255.5,256.0,307464
20250407,230.5,230.5,230.5,230.5,33952
20250408,207.5,207.5,207.5,207.5,302713
