date,open,high,low,close,volume
20241001,22329.65,22446.86,22311.33,22390.39,6546005974
20241004,22459.1,22493.05,22193.5,22302.71,9601367721
20241007,22479.24,22719.07,22479.24,22702.56,9016648411
20241008,22691.32,22691.32,22418.38,22611.39,9567321180
20241009,22637.17,22885.95,22637.17,22659.08,8833974583
20241011,22726.19,23011.11,22726.19,22901.64,7292297337
20241014,22947.32,23015.55,22799.14,22975.29,6998458282
20241015,23083.7,23353.91,23082.06,23292.04,8377162079
20241016,22990.64,23258.52,22866.73,23010.98,8256820684
20241017,23114.21,23191.79,22950.7,23053.84,7296757453
20241018,23620.57,23713.7,23378.36,23487.27,8681228996
20241021,23602.98,23678.51,23480.06,23542.53,7090579868
20241022,23428.11,23535.43,23269.86,23535.43,7397918297
20241023,23402.24,23486.45,23318.84,23334.76,6840533256
20241024,23446.64,23446.64,23150.77,23192.52,7053500103
20241025,23255.07,23388.53,23222.77,23348.45,5949900579
20241028,23455.69,23547.12,23164.42,23198.07,6484900983
20241029,23048.45,23056.57,22711.1,22926.59,7002228016
20241030,22985.13,23116.33,22801.45,22820.43,6385074452
20241101,22438.93,22828.98,22231.94,22780.08,8015830336
20241104,22839.18,23020.99,22792.77,22965.39,6638863076
20241105,22870.11,23178.8,22849.83,23106.79,6504125423
20241106,23112.95,23439.39,23035.3,23217.38,8013368499
20241107,23180.01,23518.63,23132.94,23408.82,8714755662
20241108,23608.11,23699.7,23509.13,23553.89,8522966746
20241111,23477.75,23563.8,23306.66,23529.64,7157746399
20241112,23276.76,23276.76,22981.77,22981.77,8798515554
20241113,22894.91,23046.47,22860.23,22860.23,7454299614
20241114,22821.04,22893.82,22619.71,22715.38,8159633620
20241115,22767.11,22940.8,22690.77,22742.77,7887946734
20241118,22693.96,22781.77,22503.69,22546.54,7378710427
20241119,22614.74,22906.69,22578.75,22848.8,7496707446
20241120,22872.91,22977.56,22622.47,22688.36,7304592323
20241121,22671.66,22708.57,22490.28,22555.66,6888868470
20241122,22799.53,23019.04,22799.53,22904.32,7592870837
20241125,22996.05,23172.43,22948.37,22948.37,9016499118
20241126,22789.6,22832.11,22645.13,22678.76,6587493682
20241127,22665.58,22743.99,22334.78,22334.78,7465837064
20241128,22380.45,22413.25,22124.31,22298.9,6876239566
20241129,22202.28,22429.86,22055.38,22262.5,6121271991
20241202,22456.5,22802.53,22456.5,22736.93,6539080603
20241203,22972.3,23144.78,22972.3,23027.46,8437009244
20241204,23126.08,23255.33,23034.7,23255.33,7115251523
20241205,23308.29,23387.17,23225.31,23267.94,6865840875
20241206,23278.68,23361.12,23137.62,23193.27,6678931631
20241209,23287.79,23325.99,23172.22,23273.25,6787692853
20241210,23228.26,23329.01,23071.43,23125.08,6780099371
20241211,23108.36,23108.36,22880.57,22903.63,6353873390
20241212,23050.64,23189.29,23030.48,23046.8,6832459195
20241213,23002.37,23097.52,22920.84,23020.48,6829297118
20241216,23207.21,23264.4,22959.91,23039.9,6906349717
20241217,23131.57,23223.51,23018.01,23018.01,7111819945
20241218,23014.43,23211.17,22934.59,23168.67,7096609059
20241219,22947.56,22947.56,22743.3,22932.25,7634774939
20241220,22798.39,22845.59,22510.25,22510.25,8492203563
20241223,22811.56,23132.25,22811.56,23104.54,6879560649
20241224,23260.74,23326.25,23120.24,23120.24,6550529457
20241225,23226.35,23296.36,23159.36,23220.13,5918131269
20241226,23276.08,23320.62,23241.94,23246.94,5748734408
20241227,23251.28,23335.66,23204.35,23275.68,5282782893
20241230,23274.26,23331.67,23159.7,23190.2,5188922650
20241231,23094.07,23123.96,22972.99,23035.1,5527015517
20250102,22975.71,23038.08,22713.63,22832.06,6901476303
20250103,23018.56,23092.07,22905.4,22908.3,6197928734
20250106,23131.79,23553.29,23131.79,23547.71,7153019323
20250107,23824.72,23943.95,23651.27,23651.27,7417093353
20250108,23522.29,23671.28,23388.63,23407.33,6069785523
20250109,23406.72,23463.96,23081.13,23081.13,6729365148
20250110,23067.46,23202.25,22989.67,23011.86,6018777446
20250113,23070.32,23070.32,22458.22,22488.33,7967679227
20250114,22573.96,22797.52,22542.93,22797.52,5077382309
20250115,22757.46,22777.34,22509.65,22514.57,5200875025
20250116,22817.52,23147.69,22817.52,23025.1,5748443851
20250117,23190.12,23209.88,22905.53,23148.08,5442058343
20250120,23203.47,23346.64,23176.43,23266.82,5022728587
20250121,23266.49,23377.64,23174.02,23300.01,4315813970
20250122,23472.67,23642.08,23472.67,23525.41,5160999257
20250203,22796.71,22796.71,22502.2,22694.71,7689151963
20250204,22836.27,22934.31,22720.62,22793.96,6940459300
20250205,22916.38,23249.33,22916.38,23161.58,5984578780
20250206,23226.5,23348.42,23216.65,23316.6,5581052121
20250207,23289.97,23478.27,23254.17,23478.27,5980328909
20250210,23421.77,23448.16,23163.85,23252.14,5799480347
20250211,23321.92,23485.51,23289.76,23384.05,5923166370
20250212,23449.31,23528.61,23289.75,23289.75,6224128986
20250213,23263.28,23413.1,23206.45,23399.41,7333190894
20250214,23198.39,23276.24,23142.95,23152.61,7543572464
20250217,23258.17,23510.68,23242.84,23505.33,7348992216
20250218,23550.5,23666.11,23454.09,23666.11,6663218845
20250219,23589.44,23683.46,23550.99,23604.08,7287234134
20250220,23530.97,23576.71,23400.75,23487.46,7049129458
20250221,23526.13,23732.58,23488.42,23730.25,7160637295
20250224,23573.8,23605.22,23461.43,23565.31,7075015428
20250225,23376.42,23376.42,23209.53,23285.72,7531906148
20250226,23221.84,23431.24,23156.02,23402.55,6886556787
20250227,23446.46,23487.73,23053.18,23053.18,8994191747
20250303,22734.05,22775.02,22611.1,22756.25,7315722624
20250304,22508.8,22700.94,22359.5,22596.88,7667305249
20250305,22778.86,22948.3,22757.22,22871.9,7220068963
20250306,22930.11,22979.97,22715.43,22715.43,6624545535
20250307,22696.23,22747.11,22542.08,22576.07,6465829764
20250310,22548.98,22641.25,22407.57,22459.15,6345999382
20250311,22126.06,22140.39,21769.57,22071.09,8053156074
20250312,22171.1,22391.47,22153.61,22278.36,6682514475
20250313,22403.34,22552.43,21961.68,21961.68,7430996227
20250314,21986.81,22074.03,21895.9,21968.05,7243124747
20250317,22137.53,22306.83,22110.08,22118.63,6360352806
20250318,22204.62,22327.1,22186.42,22271.67,5824074264
20250319,22245.42,22247.66,21942.69,21960.83,6087757032
20250320,22171.0,22377.26,22171.0,22377.26,5714382919
20250321,22362.38,22366.95,22200.23,22209.1,6429617622
20250324,22348.38,22380.73,22106.64,22106.64,5021528942
20250325,22269.37,22414.02,22228.68,22273.19,4993587020
20250326,22327.61,22398.12,22235.89,22260.29,4406501724
20250327,22093.2,22093.2,21919.4,21951.76,5608186918
20250328,21836.16,21836.16,21525.05,21602.89,6814236162
20250331,21254.63,21254.63,20695.9,20695.9,8683910354
20250401,20884.53,21315.52,20884.53,21280.17,5826078127
20250402,21313.77,21390.52,21235.99,21298.22,4985282024
20250407,20153.57,20153.57,19212.02,19232.35,5683302502
20250408,19064.47,19064.47,18180.48,18459.95,12393863553
20250409,18337.44,18371.52,17306.97,17391.76,12614257140
20250410,18256.47,19024.47,18256.47,19000.03,5329120133
20250411,18772.5,19528.77,18418.2,19528.77,9129660662
20250414,19686.68,20023.63,19508.93,19513.09,7665646173
20250415,19609.9,19895.43,19576.15,19857.67,5242983763
20250416,19737.09,19737.09,19453.14,19468.0,5216346236
20250417,19389.52,19478.0,19196.47,19338.73,4599431706
20250418,19423.98,19499.28,19376.35,19395.03,3792878040
20250421,19321.14,19359.96,19080.6,19106.2,4486948824
