stock_id,name,sector,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,label,rsi,ret_20d,cv_sharpe,cv_win_rate,bias_ma5,bias_ma10,bias_ma20,ma_bull,mom5,mom20,vol20,dist_high60,sector_ret20,sector_strong,chip_dir,taiex_bull,taiex_bias
1533,車王電,車用電子,20230223,20230224,51.6,20230710,67.0,MA10,88,29.84,1,81.5,10.5,-6.23,0.17,,,,,,,,,15.42,1.0,,1.0,5.01
3535,晶彩科,CoPoS封裝,20230223,20230224,24.3,20230426,20.65,SL,38,-15.02,0,74.4,6.8,-8.95,0.11,,,,,,,,,8.1,1.0,,1.0,5.01
5443,均豪,CoPoS封裝,20230223,20230224,29.45,20230620,32.05,MA10,76,8.83,1,59.8,4.8,-5.1,0.33,,,,,,,,,8.1,1.0,,1.0,5.01
4966,譜瑞-KY,IC設計,20230224,20230301,995.0,20230626,1135.0,MA10,77,14.07,1,58.9,7.7,0.0,0.0,,,,,,,,,16.51,1.0,,1.0,4.14
3711,日月光投控,封測,20230301,20230302,108.0,20230626,126.0,MA10,76,16.67,1,69.8,1.0,-0.93,0.33,,,,,,,,,7.47,1.0,0.0,1.0,4.65
4966,譜瑞-KY,IC設計,20230302,20230303,966.0,20230327,1070.0,MA10,16,10.77,1,59.0,5.9,0.0,0.0,,,,,,,,,13.98,1.0,,1.0,4.54
2454,聯發科,IC設計,20230303,20230306,784.0,20230421,665.0,SL,31,-15.18,0,64.5,7.0,0.0,0.0,1.7327,,,,,,,,11.05,1.0,0.0,1.0,4.51
4906,正文,光通訊,20230306,20230307,28.45,20230608,31.15,MA10,63,9.49,1,72.8,0.9,-8.29,0.19,1.3586,,,,1.9784,,,,2.27,0.0,0.0,1.0,5.43
6789,采鈺,CoPoS封裝,20230307,20230308,243.0,20230511,203.0,SL,42,-16.46,0,55.9,0.4,0.0,0.0,0.7784,,,,5.5794,,,,5.72,1.0,,1.0,5.91
3450,聯鈞,光通訊,20230308,20230309,42.2,20230511,35.75,SL,41,-15.28,0,72.7,0.7,3.58,0.67,2.2206,,,,3.2927,,,,4.17,1.0,0.0,1.0,5.51
8086,宏捷科,光通訊,20230308,20230309,77.8,20230420,90.6,MA10,27,16.45,1,59.4,2.9,-0.74,0.33,0.9468,,,,2.3346,,,,4.17,1.0,0.0,1.0,5.51
3006,晶豪科,記憶體,20230309,20230310,77.2,20230419,87.5,MA10,25,13.34,1,48.4,-0.6,2.03,0.33,-0.9257,,,,5.1793,,,,4.27,1.0,0.0,1.0,5.09
3008,大立光,光學,20230309,20230310,2365.0,20230425,2010.0,SL,29,-15.01,0,75.1,10.2,0.0,0.0,1.5397,,,,10.4072,,,,8.2,1.0,0.0,1.0,5.09
3105,穩懋,光通訊,20230309,20230310,164.5,20230814,138.5,SL,104,-15.81,0,53.8,0.6,0.0,0.0,0.4619,,,,4.1916,,,,2.44,0.0,0.0,1.0,5.09
3552,同致,車用電子,20230309,20230310,164.0,20230720,139.0,SL,88,-15.24,0,82.3,9.6,0.0,0.0,3.8149,,,,9.571,,,,11.67,1.0,,1.0,5.09
2408,南亞科,記憶體,20230310,20230313,58.5,20230418,67.3,MA10,23,15.04,1,49.0,0.5,-2.95,0.33,-0.5085,0.2733,,,1.3817,,,,1.34,0.0,0.0,1.0,3.4
2376,技嘉,AI伺服器,20230315,20230316,119.5,20230413,132.0,MA10,17,10.46,1,52.5,1.3,-2.95,0.0,0.1684,0.1684,,,1.7094,,,,1.79,0.0,0.0,1.0,2.29
2376,技嘉,AI伺服器,20230320,20230321,120.0,20230413,132.0,MA10,14,10.0,1,58.4,-0.8,-2.95,0.0,0.9251,0.9676,,,1.2658,,,,2.57,0.0,0.0,1.0,2.26
2317,鴻海,AI伺服器,20230321,20230322,103.5,,,OPEN,,,,57.4,0.0,3.46,0.33,0.6809,0.7299,,,1.4706,,,,4.29,1.0,0.0,1.0,2.78
2455,全新,光通訊,20230321,20230322,89.8,20230626,123.0,MA10,62,36.97,1,67.9,1.6,-0.62,0.33,2.6166,5.5959,,,9.866,,,,-0.06,0.0,0.0,1.0,2.78
2408,南亞科,記憶體,20230322,20230323,59.8,20230418,67.3,MA10,15,12.54,1,56.2,-1.5,-5.36,0.17,0.5444,0.8188,,,1.8966,,,,3.72,1.0,0.0,1.0,4.27
1533,車王電,車用電子,20230323,20230324,51.4,20230710,67.0,MA10,70,30.35,1,57.4,0.0,-9.51,0.11,1.1302,1.3078,,,2.1654,,,,12.34,1.0,,1.0,4.83
2344,華邦電,記憶體,20230323,20230324,25.55,,,OPEN,,,,62.5,4.4,-5.02,0.33,1.1466,1.8767,,,2.9167,,,,3.69,1.0,0.0,1.0,4.83
3006,晶豪科,記憶體,20230323,20230324,81.3,20230419,87.5,MA10,15,7.63,1,62.2,-4.6,-2.28,0.17,0.9591,2.4066,,,5.2632,,,,3.69,1.0,0.0,1.0,4.83
3105,穩懋,光通訊,20230323,20230324,179.5,20230515,144.0,SL,32,-19.78,0,65.8,-2.0,0.0,0.0,1.3435,3.3353,,,4.8338,,,,0.01,0.0,0.0,1.0,4.83
4938,和碩,AI伺服器,20230323,20230324,69.9,20230727,77.5,MA10,83,10.87,1,67.2,2.8,-16.25,0.0,1.2181,1.7196,,,3.5608,,,,6.67,1.0,0.0,1.0,4.83
6239,力成,封測,20230323,20230324,90.4,20230707,104.0,MA10,69,15.04,1,60.8,3.4,-3.56,0.25,0.4678,0.9739,,,3.2037,,,,8.47,1.0,0.0,1.0,4.83
6664,群翊,CoPoS封裝,20230323,20230324,110.0,20230627,136.5,MA10,61,24.09,1,66.1,2.4,0.51,0.5,1.3384,2.5145,,,4.9505,,,,6.56,1.0,,1.0,4.83
8086,宏捷科,光通訊,20230323,20230324,80.9,20230420,90.6,MA10,16,11.99,1,62.5,-1.4,-3.41,0.17,0.5148,2.8308,,,8.3218,,,,0.01,0.0,0.0,1.0,4.83
